,index,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,occupancy_rate,annual_rental_income,investment_score
5595,13701,689415105102614400,"Big room in Watthana, BTS Phrom Phong Sukhumvit 39",213476534,Kanin,Vadhana,13.732385,100.575336,Private room,957.0,3,1,0.45,3,364,1,0.002739726027397249,956.9999999999961,0.48270041526150653
5596,13704,689451123777217178,Charming 3-Bedroom for 9 in Ari/BKK view rooftop,20500449,Mallika,Phaya Thai,13.77439,100.53517,Private room,4429.0,1,1,0.39,12,364,1,0.002739726027397249,4428.999999999982,0.4288147642029191
5597,13707,701091839094969921,"Achcha house #29 
family room",181645695,Jitsupa,Bangkok Yai,13.73756484251743,100.48541282698366,Private room,1500.0,1,0,0.0,3,180,0,0.5068493150684932,277500.0,0.22637781908066673
5598,13708,689477488088780688,BTS Nana/Night Life/Sukhumvit 11/ Pool /No-Window.,460667273,Solitaire Bangkok,Vadhana,13.74261,100.55697,Private room,2243.0,1,26,5.65,9,342,26,0.06301369863013695,51588.99999999997,0.48270041526150653
5599,13709,689532463119840317,Sweet Honey Toss room @New CBD Bangkok,471647495,Natpaphas,Huai Khwang,13.77345,100.58869,Private room,550.0,2,4,0.89,2,334,4,0.08493150684931505,17049.999999999996,0.4994247488471142
5600,13710,701125068115814695,POP Heritage Residence One Bed 107,24517230,Atawit,Parthum Wan,13.7493,100.51902,Private room,1414.0,1,0,0.0,7,259,0,0.2904109589041096,149884.00000000003,0.46579112527398964
5601,13711,689555914076310503,Cozy Standard Double with River View @ Room58,337003675,Zuzu,Sathon,13.71547,100.51348,Private room,1751.0,1,0,0.0,2,363,0,0.005479452054794498,3501.9999999999854,0.388707104105458
5602,13712,701125545619051911,De Phanakron Boutique Hotel,476624189,Maesinee,Phra Nakhon,13.76418,100.5022,Private room,6357.0,1,0,0.0,1,146,0,0.6,1392183.0,0.5603982406521189
5603,13713,689558855044989463,"Cozy Room, 9 min walk to BTS Prom Phong Watthana",213476534,Kanin,Vadhana,13.732385392737973,100.57533601188216,Private room,943.0,3,1,1.0,3,297,1,0.1863013698630137,64124.00000000001,0.48270041526150653
5604,13714,689562134533726885,1 single Capsule in a 10 Bed Mixed Dormitory,473936779,Khaosan Social,Phra Nakhon,13.7604382,100.4982753,Shared room,474.0,1,11,2.66,7,351,11,0.0383561643835616,6635.999999999992,0.5603982406521189
5605,13715,701127972404739481,POP Heritage residence-Studio A9,24517230,Atawit,Parthum Wan,13.750305157288436,100.5201461661316,Private room,1037.0,1,1,1.0,7,295,1,0.1917808219178082,72589.99999999999,0.46579112527398964
5606,13722,701232139013644865,BTSNana*Bumrungrad Hospital Iraqi Htl by Arabic Rd,153793,Pemika,Vadhana,13.743568441540946,100.553878583014,Private room,1900.0,1,3,0.79,13,86,3,0.7643835616438356,530100.0,0.48270041526150653
5607,13728,698047995949496933,Featuring accommodations with balcony of city view,475986088,Jessica,Suanluang,13.71123,100.6037,Private room,1200.0,5,0,0.0,1,46,0,0.873972602739726,382800.0,0.21380635382467506
5608,13733,701645002272198970,1 ensuite bedroom in smart building in Ekkamai,476740428,Aoraekkamai,Vadhana,13.73667,100.58747,Private room,2242.0,1,0,0.0,1,365,0,0.0,0.0,0.48270041526150653
5609,13742,698627409385147609,"Cozy Room in Silom Close to BTS, Food & Shops",36955621,Nicha,Bang Rak,13.72588,100.53329,Private room,589.0,1,14,7.92,1,256,14,0.29863013698630136,64201.0,0.4183083796413036
5610,13744,698815097331325018,501 Grand View on 5th fl near Khaosan free massage,321029505,Bas,Phra Nakhon,13.7541287,100.5031563,Private room,1489.0,1,4,1.3,6,336,4,0.07945205479452055,43181.0,0.5603982406521189
5611,13748,698933631406903234,Siamese Sukhumvit 48 - Deluxe Room King Bed,412845925,Siamese Exclusive,Khlong Toei,13.728,100.57151,Private room,2957.0,1,2,2.0,7,365,2,0.0,0.0,0.46137131030528616
